id,label
u1217628182611927040,human
u2664730894,human
u1266703520205549568,human
u1089159225148882949,human
u36741729,bot
u1365527332627247104,bot
u1679822588,bot
u1519144464,human
u15211869,human
u1309034737756000256,human
u1341789703633178624,bot
u848975226,human
u1109809482656149504,human
u138814032,human
u457554412,human
u17899123,human
u2465283662,bot
u1467973039883182090,human
u234059290,human
u1142890104853106688,human
u779266494270173187,human
u1275028426672549888,bot
u284870222,human
u1280925874267787270,human
u2599121383,human
u912974971370115072,human
u1322906536029626368,human
u83389771,human
u129211757,human
u765845,human
u804075344,human
u935031277,human
u14788268,human
u3212706501,human
u2496941382,human
u21920591,human
u213809534,human
u2196860159,human
u1099603759259238400,human
u1213172638790512642,human
u177622514,human
u10129132,human
u1478784043105894403,human
u864305332075364352,bot
u1293469199554285568,human
u1141322718559666176,human
u29458079,human
u3304925983,human
u229389391,human
u1475101296520830982,human
u1459787141928660998,human
u871016931213619200,human
u771758047412748288,human
u1482043516620525579,human
u933227158398386182,human
u49009937,human
u1360303708777635844,human
u1433818532215730176,human
u1484114013566943232,human
u196278935,human
u1457083371146915842,human
u731478516181565440,human
u383950602,human
u13439042,human
u1009495181882773506,human
u73710441,human
u542721191,human
u820367095120547841,human
u2337471864,human
u1074322006445883392,human
u73125667,human
u374208504,human
u1484088723730055170,human
u1331028521649537025,human
u1031077915188846594,human
u1162025098230095872,human
u98804784,human
u224965117,human
u35708687,bot
u1290233331683008512,human
u20813318,human
u859714501331038208,human
u1009804608540200960,human
u1483049550764187648,human
u280747022,human
u1320503149816328192,human
u1438341642,bot
u1360768923814264832,bot
u1192861100804575234,human
u241877255,human
u58880930,human
u621310858,human
u86020763,human
u1353063402160099335,human
u15918780,human
u256644046,human
u1116393937449697280,human
u1076116243265060864,human
u1395509316753534987,human
u22396466,human
u1477208944833564672,human
u17393790,human
u832271187019444224,human
u816040326112706566,human
u1344562598776250369,bot
u2939998182,human
u3082871337,human
u2502990367,human
u1484148791322320899,human
u310784514,bot
u162535413,human
u1004440668763230210,human
u368644797,human
u2543789822,human
u13678962,human
u4939401,human
u1369074723896786948,human
u945957031323639808,human
u2244134066,human
u18890724,human
u118009649,human
u1863061536,human
u1268970866085441543,human
u242490547,human
u788533935886077952,human
u806609267985891328,human
u757327643826094080,human
u9604032,human
u887464432430850048,bot
u16834046,human
u1231288602912489472,human
u735984245806661632,human
u1536500138,human
u2577886615,bot
u1425141260256301059,human
u32699434,human
u2197224919,bot
u4218360677,human
u1479824001207783432,human
u86091264,human
u38669987,bot
u92922681,human
u1285628066346274817,human
u811408471652347904,human
u296153200,human
u28136504,human
u1189972333772955650,human
u826929286380658688,bot
u1375867030755287042,human
u117406291,human
u781673283829788672,human
u305236970,human
u36876992,human
u14694914,human
u2182641,human
u3110562573,bot
u1231601392139329536,human
u114820052,human
u2999992556,human
u114820838,human
u50343115,human
u3054361064,human
u158065720,human
u1256624907305103360,bot
u1435411515230785540,human
u901231978766376961,human
u1232773000627396608,human
u1478744084500078593,bot
u43194755,human
u1372879289050308610,bot
u1468930296812871682,bot
u1130741271478378496,bot
u1484168083392634890,human
u633907829,human
u8724862,human
u285685293,human
u2793278536,human
u1484422589762387968,human
u1442379663452504064,human
u1052261717835751425,human
u3393521,human
u1480131215382433792,human
u75338122,human
u1215256234682650625,human
u370112958,human
u1055100119270522880,human
u2427885031,human
u2237311590,human
u2266573932,human
u1283463794837135360,human
u1030044999180853248,human
u1482603102545285120,human
u1371483467003785222,human
u1320832772848627714,human
u1226185906652155906,bot
u18898143,human
u239060144,human
u400630125,human
u456274497,human
u1015681547415031808,human
u1086612410478268416,human
u1070942382986801153,bot
u199369366,human
u837867651078610944,human
u57398614,human
u233160369,human
u940578188979253248,human
u1243354663933493249,human
u781982295863484456,bot
